"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 13:40:48 GMT 2024","Fri Oct 11 13:40:49 GMT 2024","1064","Tests","Features","Login","","","Login com sucesso",""
"passed","Fri Oct 11 13:40:40 GMT 2024","Fri Oct 11 13:40:42 GMT 2024","2403","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Fri Oct 11 13:40:12 GMT 2024","Fri Oct 11 13:40:40 GMT 2024","27781","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Fri Oct 11 13:40:47 GMT 2024","Fri Oct 11 13:40:48 GMT 2024","849","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Fri Oct 11 13:40:43 GMT 2024","Fri Oct 11 13:40:44 GMT 2024","1106","Tests","Features","Login","","","Login com senha inválida",""
"passed","Fri Oct 11 13:40:49 GMT 2024","Fri Oct 11 13:40:50 GMT 2024","1331","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Fri Oct 11 13:40:45 GMT 2024","Fri Oct 11 13:40:46 GMT 2024","887","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Fri Oct 11 13:40:50 GMT 2024","Fri Oct 11 13:40:52 GMT 2024","2031","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Fri Oct 11 13:40:42 GMT 2024","Fri Oct 11 13:40:43 GMT 2024","906","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Fri Oct 11 13:40:46 GMT 2024","Fri Oct 11 13:40:47 GMT 2024","853","Tests","Features","Login","","","Login com senha vazia",""
"passed","Fri Oct 11 13:40:44 GMT 2024","Fri Oct 11 13:40:45 GMT 2024","862","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
