"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 23:26:29 GMT 2024","Thu Oct 10 23:26:30 GMT 2024","1202","Tests","Features","Login","","","Login com sucesso",""
"passed","Thu Oct 10 23:26:25 GMT 2024","Thu Oct 10 23:26:26 GMT 2024","967","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 23:26:32 GMT 2024","Thu Oct 10 23:26:34 GMT 2024","2275","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Thu Oct 10 23:26:27 GMT 2024","Thu Oct 10 23:26:28 GMT 2024","973","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 23:26:18 GMT 2024","Thu Oct 10 23:26:20 GMT 2024","2313","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 23:26:23 GMT 2024","Thu Oct 10 23:26:24 GMT 2024","961","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 23:26:20 GMT 2024","Thu Oct 10 23:26:23 GMT 2024","2679","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 23:26:24 GMT 2024","Thu Oct 10 23:26:25 GMT 2024","1184","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 23:26:28 GMT 2024","Thu Oct 10 23:26:29 GMT 2024","955","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Thu Oct 10 23:26:30 GMT 2024","Thu Oct 10 23:26:32 GMT 2024","1427","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Thu Oct 10 23:26:26 GMT 2024","Thu Oct 10 23:26:27 GMT 2024","960","Tests","Features","Login","","","Login com e-mail vazio",""
