"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 12 13:11:08 GMT 2024","Sat Oct 12 13:11:10 GMT 2024","1981","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Sat Oct 12 13:11:04 GMT 2024","Sat Oct 12 13:11:05 GMT 2024","808","Tests","Features","Login","","","Login com senha vazia",""
"passed","Sat Oct 12 13:11:02 GMT 2024","Sat Oct 12 13:11:03 GMT 2024","787","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Sat Oct 12 13:10:44 GMT 2024","Sat Oct 12 13:10:58 GMT 2024","14286","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Sat Oct 12 13:11:01 GMT 2024","Sat Oct 12 13:11:02 GMT 2024","992","Tests","Features","Login","","","Login com senha inválida",""
"passed","Sat Oct 12 13:11:03 GMT 2024","Sat Oct 12 13:11:04 GMT 2024","781","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Sat Oct 12 13:11:06 GMT 2024","Sat Oct 12 13:11:07 GMT 2024","998","Tests","Features","Login","","","Login com sucesso",""
"passed","Sat Oct 12 13:11:01 GMT 2024","Sat Oct 12 13:11:01 GMT 2024","779","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Sat Oct 12 13:11:07 GMT 2024","Sat Oct 12 13:11:08 GMT 2024","1228","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Sat Oct 12 13:10:58 GMT 2024","Sat Oct 12 13:11:01 GMT 2024","2190","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Sat Oct 12 13:11:05 GMT 2024","Sat Oct 12 13:11:06 GMT 2024","770","Tests","Features","Login","","","Login com e-mail e senha vazios",""
