"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:49:50 GMT 2024","Thu Oct 10 20:49:51 GMT 2024","853","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 20:49:48 GMT 2024","Thu Oct 10 20:49:50 GMT 2024","2192","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 20:49:51 GMT 2024","Thu Oct 10 20:49:52 GMT 2024","1076","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 20:49:52 GMT 2024","Thu Oct 10 20:49:53 GMT 2024","853","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 20:49:55 GMT 2024","Thu Oct 10 20:49:56 GMT 2024","1074","Tests","Features","Login","","","Login com sucesso",""
"passed","Thu Oct 10 20:49:54 GMT 2024","Thu Oct 10 20:49:55 GMT 2024","843","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 20:49:55 GMT 2024","Thu Oct 10 20:49:55 GMT 2024","833","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Thu Oct 10 20:49:56 GMT 2024","Thu Oct 10 20:49:58 GMT 2024","1262","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Thu Oct 10 20:49:46 GMT 2024","Thu Oct 10 20:49:48 GMT 2024","2174","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 20:49:58 GMT 2024","Thu Oct 10 20:50:00 GMT 2024","1842","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Thu Oct 10 20:49:53 GMT 2024","Thu Oct 10 20:49:54 GMT 2024","823","Tests","Features","Login","","","Login com e-mail vazio",""
