"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:38:10 GMT 2024","Thu Oct 10 20:38:11 GMT 2024","1011","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 20:38:05 GMT 2024","Thu Oct 10 20:38:07 GMT 2024","2150","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 20:38:09 GMT 2024","Thu Oct 10 20:38:10 GMT 2024","814","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 20:38:11 GMT 2024","Thu Oct 10 20:38:12 GMT 2024","824","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 20:38:12 GMT 2024","Thu Oct 10 20:38:13 GMT 2024","816","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Thu Oct 10 20:38:07 GMT 2024","Thu Oct 10 20:38:09 GMT 2024","2145","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 20:38:13 GMT 2024","Thu Oct 10 20:38:14 GMT 2024","803","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 20:38:15 GMT 2024","Thu Oct 10 20:38:16 GMT 2024","1002","Tests","Features","Login","","","Login com sucesso",""
"passed","Thu Oct 10 20:38:17 GMT 2024","Thu Oct 10 20:38:19 GMT 2024","1807","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Thu Oct 10 20:38:14 GMT 2024","Thu Oct 10 20:38:15 GMT 2024","792","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Thu Oct 10 20:38:16 GMT 2024","Thu Oct 10 20:38:17 GMT 2024","1208","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
