"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 20:30:00 GMT 2024","Thu Oct 10 20:30:01 GMT 2024","785","Tests","Features","Login","","","Login com e-mail e senha vazios",""
"passed","Thu Oct 10 20:29:41 GMT 2024","Thu Oct 10 20:29:54 GMT 2024","13025","Tests","Features","Conta.Cadastro Conta","","","Cadastro de conta com sucesso",""
"passed","Thu Oct 10 20:30:03 GMT 2024","Thu Oct 10 20:30:05 GMT 2024","1828","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com e-mail já utilizado",""
"passed","Thu Oct 10 20:29:54 GMT 2024","Thu Oct 10 20:29:56 GMT 2024","2089","Tests","Features","Conta.Cadastro Conta","","","Adicionar uma conta de mesmo nome",""
"passed","Thu Oct 10 20:29:59 GMT 2024","Thu Oct 10 20:30:00 GMT 2024","831","Tests","Features","Login","","","Login com e-mail vazio",""
"passed","Thu Oct 10 20:30:02 GMT 2024","Thu Oct 10 20:30:03 GMT 2024","1207","Tests","Features","Usuario.Cadastro Usuario","","","Cadastro de usuário com sucesso",""
"passed","Thu Oct 10 20:29:57 GMT 2024","Thu Oct 10 20:29:58 GMT 2024","998","Tests","Features","Login","","","Login com senha inválida",""
"passed","Thu Oct 10 20:29:56 GMT 2024","Thu Oct 10 20:29:57 GMT 2024","787","Tests","Features","Login","","","Login com e-mail inválido",""
"passed","Thu Oct 10 20:29:58 GMT 2024","Thu Oct 10 20:29:59 GMT 2024","852","Tests","Features","Login","","","Login com e-mail e senha inválidos",""
"passed","Thu Oct 10 20:30:00 GMT 2024","Thu Oct 10 20:30:00 GMT 2024","841","Tests","Features","Login","","","Login com senha vazia",""
"passed","Thu Oct 10 20:30:01 GMT 2024","Thu Oct 10 20:30:02 GMT 2024","1020","Tests","Features","Login","","","Login com sucesso",""
